"section","metric","value","detail"
"corpus","documents","2",""
"corpus","chars","1811605","raw, before whitespace normalization"
"corpus","bytes_utf8","1811605",""
"corpus","unique_chars","41",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","886",""
"vocab","final_vocab_size","1142",""
"vocab","target_vocab_size","5000",""
"vocab","reached_target","0","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","1142","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","TokenizerUTF8__lorem-ipsum__1142","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","0","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","1811605","raw UTF-8 bytes"
"compression","final_tokens_total","267984",""
"compression","compression_ratio","6.76","base units absorbed per final token"
"compression","chars_per_token","6.76","approx; whitespace collapsed before training"
"timing","load_seconds","0.0","wall time to load the corpus"
"timing","train_seconds","0.001","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","0.169","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","10740192","training throughput over the base stream (uses cumulative time)"
"top_token"," et","3596","rank=1 id=322 share=1.34% base_units=3 merge=yes"
"top_token"," sit","3527","rank=2 id=335 share=1.32% base_units=4 merge=yes"
"top_token"," in","3269","rank=3 id=307 share=1.22% base_units=3 merge=yes"
"top_token"," ac","3206","rank=4 id=311 share=1.20% base_units=3 merge=yes"
"top_token"," sed","2910","rank=5 id=338 share=1.09% base_units=4 merge=yes"
"top_token"," vitae","2891","rank=6 id=340 share=1.08% base_units=6 merge=yes"
"top_token"," a","2843","rank=7 id=259 share=1.06% base_units=2 merge=yes"
"top_token"," vel","2829","rank=8 id=308 share=1.06% base_units=4 merge=yes"
"top_token"," amet","2814","rank=9 id=334 share=1.05% base_units=5 merge=yes"
"top_token"," nec","2777","rank=10 id=343 share=1.04% base_units=4 merge=yes"
